1657.865703	-100.0
3458.85910983	-100.0
3458.85911082	20.0
3458.85911721	28.2281765576
3458.85912562	40.0
3458.85915333	48.2281693344
3458.85918977	60.0
3458.8592644	68.2281471197
3458.85936256	80.0
3458.85952001	88.2280959986
3458.85972709	100.0
3458.86001359	108.227997282
3458.8603904	120.0
3458.8608626	128.227827479
3458.86148363	140.0
3458.86220865	148.22755827
3458.86316217	160.0
3458.86421768	168.227156464
3458.86560588	180.0
3458.86708022	188.226583955
3458.86901936	200.0
3458.87101165	208.22579767
3458.87363222	220.0
3458.87625247	228.224749507
3458.87969944	240.0
3458.88306864	248.223386272
3458.88750167	260.0
3458.891752	268.221649601
3458.89734573	280.0
3458.90262063	288.219475874
3458.90956502	300.0
3458.91601936	308.216796128
3458.92452003	320.0
3458.93232025	328.213535951
3458.94259891	340.0
3458.95192315	348.209615369
3458.96421808	360.0
3458.97525635	368.204948729
3458.98982291	380.0
3459.0027772	388.19944456
3459.01988847	400.0
3459.03497286	408.193005428
3459.0549203	420.0
3459.0723611	428.185527781
3459.09545532	440.0
3459.11549114	448.176901772
3459.14206278	460.0
3459.16494463	468.167011074
3459.1953453	480.0
3459.22133662	488.155732676
3459.25594001	500.0
3459.28531668	508.142936664
3459.32451976	520.0
3459.35757012	528.128485976
3459.40179451	540.0
3459.43881925	548.112236151
3459.48851275	560.0
3459.54416924	571.908833848
3459.58546311	580.0
3459.63138752	588.073722496
3459.69347605	600.0
3459.74434969	608.051130062
3459.81342581	620.0
3459.86959704	628.026080593
3459.94623239	640.0
3460.00806066	647.998387868
3460.09286381	660.0
3460.18653713	672.037307426
3460.25433852	680.0
3460.32860082	687.934279837
3460.43172808	700.0
3460.51278636	707.897442729
3460.62616	720.0
3460.75066835	732.150133669
3460.83882096	740.0
3460.93466965	747.81306607
3461.07096018	760.0
3461.17481589	767.765036823
3461.32389327	780.0
3461.4361697	787.71276606
3461.59900629	800.0
3461.72011922	807.655976156
3461.89776034	820.0
3462.02812534	827.594374932
3462.22169649	840.0
3462.36172627	847.527654746
3462.57244125	860.0
3462.72254259	867.455491483
3462.95171259	880.0
3463.11228269	887.377543463
3463.36132653	900.0
3463.53274882	907.293450236
3463.8032045	920.0
3463.98584368	927.202831265
3464.27938134	940.0
3464.59860287	952.919720573
3464.79201428	960.0
3464.99807678	967.000384644
3465.34339281	980.0
3465.56159154	986.887681691
3465.93594968	1000.0
3466.16650652	1006.7666987
3466.57227311	1020.0
3466.81535101	1026.6369298
3467.25512044	1040.0
3467.73370106	1053.54674021
3467.98743325	1060.0
3468.25574146	1066.34885171
3468.77235445	1080.0
3469.053182	1086.1893636
3469.61324725	1100.0
3470.22398828	1114.04479766
3470.51371656	1120.0
3470.81876653	1125.83624669
3471.47763301	1140.0
3471.7940603	1145.64118794
3472.50916009	1160.0
3472.83620466	1165.43275907
3473.61278467	1180.0
3473.94943371	1185.21011326
3474.79335165	1200.0
3475.13829018	1204.97234196
3476.05610308	1220.0
3476.40765439	1224.71846912
3477.40672264	1240.0
3477.76277599	1244.4474448
3478.85138605	1260.0
3479.20930852	1264.1581383
3480.39681834	1280.0
3480.75334659	1283.84933068
3482.05035883	1300.0
3482.40146535	1303.51970693
3483.82003475	1320.0
3485.40154593	1337.08030919
3485.71464419	1340.0
3486.03889276	1342.79222145
3487.74384906	1360.0
3488.04411683	1362.39117663
3489.91827797	1380.0
3490.18531808	1381.96293638
3492.24963755	1400.0
3492.47201963	1401.50559607
3494.75082861	1420.0
3497.35135019	1439.47027004
3497.43605896	1440.0
3497.52302488	1440.49539502
3500.0	1457.76271512
3500.26789485	1459.94642103
3500.27335669	1460.0
3502.85998405	1479.42800319
3502.92270459	1480.0
3505.6567301	1498.86865398
3505.790376	1500.0
3508.68012841	1518.26397432
3508.90145683	1520.0
3511.95588612	1537.60882278
3512.28557985	1540.0
3515.5143522	1556.89712956
3515.97813629	1560.0
3519.3917742	1576.12164516
3520.02193051	1580.0
3523.63204104	1595.27359179
3524.46949269	1600.0
3528.28918094	1614.34216381
3529.38640232	1620.0
3533.43110475	1633.31377905
3534.85623087	1640.0
3539.14558849	1652.1708823
3540.98822883	1660.0
3545.55084704	1670.88983059
3547.93007536	1680.0
3552.81771709	1689.43645658
3555.89145881	1700.0
3561.23355694	1707.75328861
3565.19931235	1720.0
3571.56977336	1725.68604533
3576.55804208	1740.0
3582.87237248	1743.4255255
3588.77737463	1760.0
3588.77737463	1762.24452507
3599.22332132	1780.0
3599.22332132	1780.15533574
3600.0	1780.40953814
3630.6928375	1793.8614325
3632.4640353	1800.0
3632.46270939	1813.50745812
3635.21662446	1820.0
3635.21662446	1832.95667511
3641.00421317	1840.0
3641.00421317	1851.79915737
3656.76434927	1860.0
3656.76434927	1868.64713015
3656.76434927	1880.0
3656.76434927	1891.35286985
3656.76434927	1900.0
3656.76434927	1908.64713015
3656.76434927	1920.0
3656.76434927	1928.64713015
3656.76434927	1940.0
3656.76434927	1948.64713015
3656.76434927	1960.0
3656.76434927	1968.64713015
3656.76434927	1980.0
3656.76434927	1988.64713015
3656.76434927	2000.0
3656.76434927	2008.64713015
3656.76434927	2020.0
3656.76434927	2028.64713015
3656.76434927	2040.0
3656.76434927	2051.35286985
3656.76434927	2060.0
3656.76434927	2068.64713015
3656.76434927	2080.0
3656.76434927	2088.64713015
3656.76434927	2100.0
3656.76434927	2108.64713015
3656.76434927	2120.0
3656.76434927	2128.64713015
3656.76434927	2140.0
3656.76434927	2148.64713015
3656.76434927	2160.0
3656.76434927	2168.64713015
3656.76434927	2180.0
